DATE,USREC
1855-01-01,0
1856-01-01,0
1857-01-01,1
1858-01-01,1
1859-01-01,0
1860-01-01,0
1861-01-01,1
1862-01-01,0
1863-01-01,0
1864-01-01,0
1865-01-01,1
1866-01-01,1
1867-01-01,1
1868-01-01,0
1869-01-01,1
1870-01-01,1
1871-01-01,0
1872-01-01,0
1873-01-01,0
1874-01-01,1
1875-01-01,1
1876-01-01,1
1877-01-01,1
1878-01-01,1
1879-01-01,0
1880-01-01,0
1881-01-01,0
1882-01-01,1
1883-01-01,1
1884-01-01,1
1885-01-01,0
1886-01-01,0
1887-01-01,1
1888-01-01,0
1889-01-01,0
1890-01-01,0
1891-01-01,0
1892-01-01,0
1893-01-01,1
1894-01-01,1
1895-01-01,0
1896-01-01,1
1897-01-01,1
1898-01-01,0
1899-01-01,1
1900-01-01,1
1901-01-01,0
1902-01-01,0
1903-01-01,1
1904-01-01,1
1905-01-01,0
1906-01-01,0
1907-01-01,1
1908-01-01,1
1909-01-01,0
1910-01-01,1
1911-01-01,1
1912-01-01,0
1913-01-01,1
1914-01-01,1
1915-01-01,0
1916-01-01,0
1917-01-01,0
1918-01-01,0
1919-01-01,0
1920-01-01,1
1921-01-01,1
1922-01-01,0
1923-01-01,1
1924-01-01,1
1925-01-01,0
1926-01-01,0
1927-01-01,1
1928-01-01,0
1929-01-01,0
1930-01-01,1
1931-01-01,1
1932-01-01,1
1933-01-01,0
1934-01-01,0
1935-01-01,0
1936-01-01,0
1937-01-01,1
1938-01-01,1
1939-01-01,0
1940-01-01,0
1941-01-01,0
1942-01-01,0
1943-01-01,0
1944-01-01,0
1945-01-01,1
1946-01-01,0
1947-01-01,0
1948-01-01,0
1949-01-01,1
1950-01-01,0
1951-01-01,0
1952-01-01,0
1953-01-01,0
1954-01-01,0
1955-01-01,0
1956-01-01,0
1957-01-01,0
1958-01-01,0
1959-01-01,0
1960-01-01,1
1961-01-01,0
1962-01-01,0
1963-01-01,0
1964-01-01,0
1965-01-01,0
1966-01-01,0
1967-01-01,0
1968-01-01,0
1969-01-01,0
1970-01-01,1
1971-01-01,0
1972-01-01,0
1973-01-01,0
1974-01-01,1
1975-01-01,0
1976-01-01,0
1977-01-01,0
1978-01-01,0
1979-01-01,0
1980-01-01,1
1981-01-01,0
1982-01-01,1
1983-01-01,0
1984-01-01,0
1985-01-01,0
1986-01-01,0
1987-01-01,0
1988-01-01,0
1989-01-01,0
1990-01-01,0
1991-01-01,0
1992-01-01,0
1993-01-01,0
1994-01-01,0
1995-01-01,0
1996-01-01,0
1997-01-01,0
1998-01-01,0
1999-01-01,0
2000-01-01,0
2001-01-01,1
2002-01-01,0
2003-01-01,0
2004-01-01,0
2005-01-01,0
2006-01-01,0
2007-01-01,0
2008-01-01,1
2009-01-01,1
2010-01-01,0
2011-01-01,0
2012-01-01,0
2013-01-01,0
2014-01-01,0
2015-01-01,0
2016-01-01,0
